RAZ Level,Book Title,单词1,单词2,单词3,单词4,单词5,单词6,单词7,单词8,单词9,单词10,单词11,单词12,单词13,单词14,单词15,单词16,单词17,单词18,单词19,单词20,单词21
aa,农场动物,动物,鸡,奶牛,狗,鸭子,山羊,猪,羊,,,,,,,,,,,,,
aa,Farm Animals,animals,chicken,cow,dog,duck,goat,pig,sheep,,,,,,,,,,,,,
aa,去,去,去,动物,鸟类,猫,奶牛,狗,鸭子,去,山羊,猪,,,,,,,,,,
aa,Go,Go,Go,animals,birds,cats,cows,dogs,ducks,go,goats,pigs,,,,,,,,,,
aa,跳过去,猫,奶牛,鹿,狐狸,女孩,山羊,马,跳跃,超过,,,,,,,,,,,,
aa,Jump Over,cat,cow,deer,fox,girl,goat,horse,jumps,over,,,,,,,,,,,,
aa,宠物,鸟,兔子,猫,狗,金鱼,仓鼠,老鼠,龟,,,,,,,,,,,,,
aa,Pets,bird,bunny,cat,dog,goldfish,hamster,mouse,turtle,,,,,,,,,,,,,
aa,平原动物,鳄鱼,大象,长颈鹿,鸵鸟,平原,斑马,,,,,,,,,,,,,,,
aa,Plains Animals,crocodile,elephant,giraffe,ostrich,plains,zebra,,,,,,,,,,,,,,,
aa,雨林动物,甲虫,蝴蝶,猴,鹦鹉,雨林,蛇,,,,,,,,,,,,,,,
aa,Rainforest Animals,beetle,butterfly,monkey,parrot,rainforest,snake,,,,,,,,,,,,,,,
aa,海岸,海滩,鸟类,悬崖,海岸,灯塔,海洋,岩石,波浪,,,,,,,,,,,,,
aa,The Coast,beach,birds,cliff,coast,lighthouse,ocean,rocks,waves,,,,,,,,,,,,,
aa,水,冰,湖,海洋,雨,河,雪,水,,,,,,,,,,,,,,
aa,Water,ice,lake,ocean,rain,river,snow,water,,,,,,,,,,,,,,
aa,春天,球,自行车,鸟类,兔子,花朵,雨,彩虹,春天,,,,,,,,,,,,,
aa,Spring,ball,bikes,birds,bunny,flowers,rain,rainbow,spring,,,,,,,,,,,,,
aa,夏天,球,海滩,花朵,花园,雨,夏天,阳光,泳装,,,,,,,,,,,,,
aa,Summer,ball,beach,flowers,garden,rain,summer,sunshine,swimsuit,,,,,,,,,,,,,
aa,现在是秋天,橡子,苹果,玉米,夹克,叶子,月亮,南瓜,耙,,,,,,,,,,,,,
aa,It Is Fall,acorn,apple,corn,jacket,leaf,moon,pumpkin,rake,,,,,,,,,,,,,
aa,冬天,外套,火,冰刀,连指手套,雪橇,雪,雪人,冬天,,,,,,,,,,,,,
aa,Winter,coat,fire,ice skates,mittens,sled,snow,snowman,winter,,,,,,,,,,,,,
aa,海洋,珊瑚,螃蟹,海洋,沙,海藻,海星,,,,,,,,,,,,,,,
